80,28/01/2020,,Malaysia,1/28/2020 23:00,7.0,0,0
81,28/01/2020,Ontario,Canada,1/28/2020 23:00,1.0,0,0
82,28/01/2020,British Columbia,Canada,1/28/2020 23:00,1.0,0,0
83,28/01/2020,,Cambodia,1/28/2020 23:00,1.0,0,0
84,28/01/2020,,Sri Lanka,1/28/2020 23:00,1.0,0,0
85,28/01/2020,New South Wales,Australia,1/28/2020 23:00,4.0,0,0
86,28/01/2020,Victoria,Australia,1/28/2020 23:00,1.0,0,0
87,28/01/2020,Bavaria,Germany,1/28/2020 23:00,4.0,0,0
88,29/01/2020,Hong Kong,Hong Kong,1/29/2020 21:00,10.0,0,0
89,29/01/2020,Taiwan,Taiwan,1/29/2020 21:00,8.0,0,0
90,29/01/2020,Macau,Macau,1/29/2020 21:00,7.0,0,0
91,29/01/2020,,Japan,1/29/2020 21:00,11.0,0,1
92,29/01/2020,,Thailand,1/29/2020 21:00,14.0,0,5
93,29/01/2020,,South Korea,1/29/2020 21:00,4.0,0,0
94,29/01/2020,,Singapore,1/29/2020 21:00,10.0,0,0
95,29/01/2020,,Vietnam,1/29/2020 21:00,2.0,0,0
96,29/01/2020,,France,1/29/2020 21:00,5.0,0,0
97,29/01/2020,,Nepal,1/29/2020 21:00,1.0,0,0
98,29/01/2020,,Malaysia,1/29/2020 21:00,7.0,0,0
99,29/01/2020,Ontario,Canada,1/29/2020 21:00,2.0,0,0
100,29/01/2020,British Columbia,Canada,1/29/2020 21:00,1.0,0,0
101,29/01/2020,,Cambodia,1/29/2020 21:00,1.0,0,0
102,29/01/2020,,Sri Lanka,1/29/2020 21:00,1.0,0,0
103,29/01/2020,New South Wales,Australia,1/29/2020 21:00,4.0,0,0
104,29/01/2020,Victoria,Australia,1/29/2020 21:00,2.0,0,0
105,29/01/2020,Queensland,Australia,1/29/2020 21:00,1.0,0,0
106,29/01/2020,Bavaria,Germany,1/29/2020 21:00,4.0,0,0
107,29/01/2020,,Finland,1/29/2020 21:00,1.0,0,0
108,29/01/2020,,United Arab Emirates,1/29/2020 21:00,4.0,0,0
109,30/01/2020,Hong Kong,Hong Kong,1/30/2020 21:30,12.0,0,0
110,30/01/2020,Taiwan,Taiwan,1/30/2020 21:30,9.0,0,0
111,30/01/2020,Macau,Macau,1/30/2020 21:30,7.0,0,0
112,30/01/2020,,Japan,1/30/2020 21:30,11.0,0,1
113,30/01/2020,,Thailand,1/30/2020 21:30,14.0,0,5
114,30/01/2020,,South Korea,1/30/2020 21:30,6.0,0,0
115,30/01/2020,,Singapore,1/30/2020 21:30,10.0,0,0
116,30/01/2020,,Vietnam,1/30/2020 21:30,2.0,0,0
117,30/01/2020,,France,1/30/2020 21:30,5.0,0,0
118,30/01/2020,,Nepal,1/30/2020 21:30,1.0,0,0
119,30/01/2020,,Malaysia,1/30/2020 21:30,8.0,0,0
120,30/01/2020,Ontario,Canada,1/30/2020 21:30,2.0,0,0
121,30/01/2020,British Columbia,Canada,1/30/2020 21:30,1.0,0,0
122,30/01/2020,,Cambodia,1/30/2020 21:30,1.0,0,0
123,30/01/2020,,Sri Lanka,1/30/2020 21:30,1.0,0,0
124,30/01/2020,New South Wales,Australia,1/30/2020 21:30,4.0,0,2
125,30/01/2020,Victoria,Australia,1/30/2020 21:30,2.0,0,0
126,30/01/2020,Queensland,Australia,1/30/2020 21:30,3.0,0,0
127,30/01/2020,Bavaria,Germany,1/30/2020 21:30,4.0,0,0
128,30/01/2020,,Finland,1/30/2020 21:30,1.0,0,0
